Resource	Date	Description
DiscreteActionOnOffDependentTest.java	2 days ago	Remove this array creation.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Remove this array creation.
DiscreteActionOnOffDependentTest.java	2 days ago	Remove this array creation.
DiscreteActionOnOffDependentTest.java	2 days ago	Remove this unused import 'timer.DateTimer'.
DiscreteActionOnOffDependentTest.java	2 days ago	Remove this unused import 'timer.Timer'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
DiscreteActionOnOffDependentTest.java	2 days ago	Remove this assertion from production code. [+7 locations]
DiscreteActionOnOffDependentTest.java	2 days ago	Define a constant instead of duplicating this literal "test avec getInstance" 7 times. [+7 locations]
DiscreteActionOnOffDependentTest.java	2 days ago	Define a constant instead of duplicating this literal "test avec getTime" 4 times. [+4 locations]
DiscreteActionOnOffDependentTest.java	null	Rename this package name to match the regular expression '^[a-z_]+(\.[a-z_][a-z0-9_]*)*$'.
DiscreteActionOnOffDependentTest.java	null	Define and throw a dedicated exception instead of using a generic one.
DiscreteActionOnOffDependentTest.java	null	Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.
