Resource	Date	Description
MergedTimerTest.java	8 minutes ago	Do something with the "boolean" value returned by "hasNext".
MergedTimerTest.java	8 minutes ago	Remove this unused import 'java.util.TreeSet'.
MergedTimerTest.java	8 minutes ago	Remove this unused import 'org.junit.After'.
MergedTimerTest.java	8 minutes ago	Remove this assertion from production code. [+19 locations]
MergedTimerTest.java	null	Remove the unnecessary boolean literal.
MergedTimerTest.java	null	Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
MergedTimerTest.java	null	Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
MergedTimerTest.java	null	Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
MergedTimerTest.java	null	Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
MergedTimerTest.java	null	Define and throw a dedicated exception instead of using a generic one.
MergedTimerTest.java	null	Provide the parametrized type for this generic.
MergedTimerTest.java	null	Provide the parametrized type for this generic.
MergedTimerTest.java	null	Provide the parametrized type for this generic.
MergedTimerTest.java	null	Rename "timer1" which hides the field declared at line 13.
MergedTimerTest.java	null	Rename "timer2" which hides the field declared at line 14.
MergedTimerTest.java	null	Replace the synchronized class "Vector" by an unsynchronized one such as "ArrayList" or "LinkedList".
MergedTimerTest.java	null	Replace the synchronized class "Vector" by an unsynchronized one such as "ArrayList" or "LinkedList".
MergedTimerTest.java	null	Replace the synchronized class "Vector" by an unsynchronized one such as "ArrayList" or "LinkedList".
MergedTimerTest.java	null	Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.
