Resource	Date	Description
DiscreteActionDependentTest.java	null	Remove this array creation.
DiscreteActionDependentTest.java	null	Remove this array creation.
DiscreteActionDependentTest.java	null	Remove this array creation.
DiscreteActionDependentTest.java	null	Remove this array creation.
DiscreteActionDependentTest.java	null	Rename this package name to match the regular expression '^[a-z_]+(\.[a-z_][a-z0-9_]*)*$'.
DiscreteActionDependentTest.java	null	Define and throw a dedicated exception instead of using a generic one.
DiscreteActionDependentTest.java	null	Remove this assertion from production code. [+11 locations]
DiscreteActionDependentTest.java	null	Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.
DiscreteActionDependentTest.java	null	Define a constant instead of duplicating this literal "test avec getInstance" 10 times. [+10 locations]
DiscreteActionDependentTest.java	null	Define a constant instead of duplicating this literal "test avec getTime" 3 times. [+3 locations]
